SAMP_NAME,LOCATION,DATE
Sample_1,Site 1,4042021
Sample_2,Site 1,12262021
Sample_3,Site 1,4192021
Sample_4,Site 1,4262021
Sample_5,Site 1,5022021
Sample_6,Site 1,5212021
Sample_7,Site 1,6082021
Sample_8,Site 1,6222021
Sample_9,Site 1,6272021
Sample_10,Site 1,8012021
Sample_11,Site 1,8292021
Sample_12,Site 1,9192021
Sample_13,Site 1,9262021
Sample_14,Site 1,10102021
Sample_15,Site 1,10242021
Sample_16,Site 1,11282021
Sample_17,Site 1,12052021
Sample_18,Site 1,12122021
Sample_19,Site 1,12192021
Sample_20,Site 1,1022022
Sample_21,Site 1,1092022
